"annual_kwh";"sq_meters";"epc_label";"building_era";"income_euro";"occupancy_count";"dist_to_brussels";"roof_color";"pet_ownership"
"69";5397.39;111.38;"C";"1970-2000";28240.33;4;34.3;"Black";"1"
"70";2809.53;101;"A";"Post-2000";47415.03;2;97.06;"Black";"0"
"71";3637.66;173.21;"D";"Pre-1970";56037.34;1;102.09;"Black";"0"
"72";6205.75;171.34;"D";"1970-2000";44464.5;3;79.6;"Red";"1"
"73";6931.78;181.01;"E";"Pre-1970";81320.98;4;108.43;"Black";"0"
"74";3851.18;174.02;"B";"1970-2000";30297.94;1;75.22;"Black";"0"
"75";5781.46;178.07;"A";"Post-2000";54150.86;3;38.23;"Red";"0"
"76";4629.16;89.05;"A";"Post-2000";28574.86;5;113.34;"Red";"0"
"77";17197.12;268.11;"F";"Pre-1970";115384;7;81.56;"Red";"1"
"78";5180.2;224.99;"D";"1970-2000";60443.51;2;86.14;"Black";"0"
"79";10536.83;124.82;"E";"Pre-1970";38005.43;7;92.18;"Black";"0"
"80";4573.81;151.06;"F";"Pre-1970";63153.67;2;41.83;"Black";"0"
"81";5565.41;132.8;"A";"Post-2000";26370.21;5;13.4;"Red";"0"
"82";10121.41;211.09;"C";"1970-2000";87466.61;6;6.1;"Red";"0"
"83";2711.58;124.49;"B";"Post-2000";26371.17;2;66.58;"Other";"0"
"84";5078.18;121.73;"F";"Pre-1970";22014.02;4;117.4;"Black";"1"
"85";4470.62;145.61;"A";"Post-2000";43266.69;3;60.93;"Other";"0"
"86";9992.85;192.36;"F";"Pre-1970";64999.63;6;119.16;"Red";"1"
"87";8048.26;166.34;"E";"Pre-1970";44134.92;6;40.77;"Other";"1"
"88";6403.25;145.55;"F";"Pre-1970";31503.65;4;9.94;"Other";"0"
"89";9842.93;196.97;"E";"Pre-1970";75290.53;6;27.18;"Other";"0"
"90";9150.06;255.92;"B";"1970-2000";131465.85;6;106.47;"Red";"1"
"91";8189.34;127.53;"D";"1970-2000";18373.58;6;12.64;"Black";"0"
"92";4952.55;237.68;"B";"1970-2000";86087.15;2;98.38;"Black";"0"
"93";5043.3;170.39;"C";"1970-2000";35821.45;4;119.22;"Black";"0"
"94";8895.63;154.85;"B";"1970-2000";68976.9;7;83.43;"Red";"1"
"95";3252.57;143.6;"A";"Post-2000";19516.98;3;76.91;"Other";"0"
"96";3642.17;120.1;"B";"Post-2000";39447.47;2;97.03;"Red";"0"
"97";7157.82;123.4;"F";"Pre-1970";28811.2;5;63.15;"Red";"0"
"98";9442.57;168.68;"F";"Pre-1970";35573.88;5;10.14;"Red";"1"
"99";7107.21;138.09;"D";"1970-2000";27315.69;6;95.2;"Black";"0"
"100";4830.33;188.7;"F";"Pre-1970";52377.99;1;88.94;"Other";"0"
"101";9023.73;184.55;"D";"1970-2000";76674.15;6;100.52;"Red";"0"
"102";9962.11;142.92;"E";"Pre-1970";35517.14;7;62.12;"Red";"1"
"103";4657.57;81.48;"C";"Pre-1970";40034.5;5;45.04;"Red";"1"
"104";8249.58;135.52;"E";"Pre-1970";26896.68;5;87.63;"Other";"1"
"105";5239.76;192.4;"C";"1970-2000";69433.51;3;44.07;"Black";"1"
"106";6902.14;204.73;"A";"Post-2000";57115.05;5;27.12;"Red";"1"
"107";5945.4;188.82;"E";"Pre-1970";21940.17;2;15.86;"Red";"1"
"108";4307.03;205.48;"A";"Post-2000";86377.69;3;23.63;"Red";"0"
"109";6965.12;112.63;"C";"1970-2000";26208.99;7;113.66;"Black";"0"
"110";3159.31;137.14;"C";"1970-2000";27628.25;1;105.97;"Red";"0"
"111";4145.94;97.48;"C";"1970-2000";22872.02;4;99.74;"Other";"0"
"112";3399.94;135.13;"E";"Pre-1970";25924.75;1;43.87;"Other";"0"
"113";2982.62;142.97;"A";"Post-2000";37926.65;1;101.05;"Black";"0"
"114";7581.32;184.59;"E";"Pre-1970";56374.38;5;104.08;"Red";"0"
"115";11598.02;134.02;"D";"Pre-1970";32210.74;7;48.54;"Other";"1"
"116";4360.34;157.44;"B";"Post-2000";40556.64;4;10.98;"Red";"0"
"117";5431.98;184.77;"D";"1970-2000";39080.62;3;103.27;"Red";"0"
"118";3554.37;185.19;"A";"Post-2000";75125.61;2;10.27;"Other";"0"
"119";9020.17;239.09;"E";"Pre-1970";124234.97;6;11.31;"Other";"1"
"120";7179.21;152.75;"E";"Pre-1970";27419.63;5;39.13;"Other";"0"
"121";5346.68;182.25;"C";"Pre-1970";104588.81;3;18.99;"Red";"0"
"122";5864.86;236.93;"F";"Pre-1970";115764.01;1;81.63;"Red";"1"
"123";7919.61;112.65;"D";"1970-2000";49224.92;6;37.62;"Red";"1"
"124";6682.25;163.2;"F";"Pre-1970";66411.5;3;42.76;"Other";"0"
"125";4972.83;177.38;"C";"1970-2000";20283.1;2;32.66;"Red";"1"
"126";4156.65;203.24;"A";"Post-2000";54774.58;1;31.51;"Black";"0"
"127";6499.94;176.97;"A";"Post-2000";34722.17;6;96.9;"Red";"1"
"128";4010.04;181.17;"A";"Post-2000";41174.06;3;87.97;"Other";"0"
"129";6607.71;189.54;"C";"1970-2000";56867.25;6;95.37;"Black";"1"
"130";3339.38;148.42;"A";"Post-2000";70615.05;1;109.6;"Other";"1"
"131";5845.08;180.9;"C";"1970-2000";43443.63;5;62.31;"Black";"0"
"132";6098.42;279.45;"A";"Post-2000";145425.37;4;92.11;"Black";"0"
"133";3934.36;142.53;"F";"Pre-1970";57817.84;1;37.64;"Red";"1"
"134";8576.76;177.48;"D";"1970-2000";40494.85;6;93.43;"Red";"0"
"135";3284.91;171.82;"D";"1970-2000";54106.09;1;58.74;"Black";"1"
"136";7178.49;151.79;"A";"Post-2000";42399.17;7;49.34;"Red";"0"
"137";8474.93;159.34;"F";"Pre-1970";27118.41;6;118.86;"Other";"0"
"138";9159.6;177.77;"D";"1970-2000";55629.08;7;76.23;"Other";"1"
"139";6988.35;140.02;"E";"Pre-1970";67992.86;5;25.3;"Red";"0"
"140";4614.99;161.29;"D";"Pre-1970";52694.21;2;64.19;"Red";"0"
"141";3511.69;136.62;"B";"1970-2000";52428.74;3;114.68;"Red";"0"
"142";9603.75;193.11;"A";"Post-2000";47607.59;7;52.91;"Red";"1"
"143";3397.6;222.86;"A";"Post-2000";64962.99;1;87.35;"Black";"1"
"144";7131.27;99.83;"E";"Pre-1970";24896.27;7;41.54;"Red";"0"
"145";4365.85;188.31;"C";"1970-2000";74699.25;2;96.38;"Red";"0"
"146";4937.27;129.47;"E";"Pre-1970";29463.34;3;113.91;"Red";"0"
"147";7444.17;185.84;"B";"1970-2000";51572.6;6;77.33;"Black";"0"
"148";3874.41;170.67;"A";"Post-2000";62889.49;3;27.38;"Other";"1"
"149";3900.25;164.68;"B";"1970-2000";49350.99;3;6.03;"Other";"0"
"150";5477.01;128.64;"B";"1970-2000";21983.74;6;67.9;"Other";"0"
"151";5551.67;111.52;"D";"1970-2000";44844.09;4;111.4;"Red";"0"
"152";6294.31;145.24;"D";"Pre-1970";51564.35;4;85.07;"Other";"0"
"153";8939.06;162.44;"D";"1970-2000";69233.14;6;70.09;"Red";"1"
"154";4641.79;133.13;"C";"1970-2000";55557.22;4;40.74;"Red";"0"
"155";6274.11;160.31;"A";"Post-2000";57503.93;6;113.35;"Other";"0"
"156";7287.5;158.06;"B";"Post-2000";74177.11;7;115.34;"Black";"0"
"157";7241.18;166.46;"A";"Post-2000";32262.1;7;87.14;"Other";"0"
"158";5207.75;138.59;"A";"Post-2000";33578.73;4;94.96;"Other";"0"
"159";3830.84;152.28;"C";"1970-2000";44190.21;2;27.48;"Black";"0"
"160";7690.5;173.71;"A";"Post-2000";51663.87;6;24.83;"Other";"0"
"161";3966.31;190.66;"E";"Pre-1970";83485.88;1;56.91;"Black";"0"
"162";8358.21;152.11;"F";"Pre-1970";30050.32;5;104.36;"Black";"0"
"163";4226.76;168.07;"D";"1970-2000";29933.12;1;81.49;"Black";"0"
"164";6878.01;162.48;"D";"Pre-1970";62846.04;5;84.34;"Black";"0"
"165";7435.57;122.63;"C";"1970-2000";37017.62;7;22.31;"Other";"0"
"166";5346.19;199.36;"E";"Pre-1970";40262.99;3;26.76;"Red";"0"
"167";4931.03;166.38;"C";"1970-2000";58242.19;3;39.52;"Black";"0"
"168";3310.28;151.24;"B";"Post-2000";33639.11;1;29.7;"Other";"0"
"169";4245.19;167.33;"E";"Pre-1970";32016.6;1;63.31;"Other";"0"
"170";8302.91;153.04;"E";"Pre-1970";39512.64;6;51.74;"Other";"0"
"171";4170.8;110.36;"B";"1970-2000";37181.52;4;92.47;"Other";"1"
"172";3989.12;116.44;"B";"Post-2000";32564.7;4;106.62;"Red";"1"
"173";2918.29;150.78;"C";"1970-2000";65783.75;1;44.66;"Black";"1"
"174";3025.28;118.81;"C";"Pre-1970";35722.07;1;16.61;"Other";"0"
"175";6703.45;200.81;"D";"1970-2000";45741.48;5;54.1;"Red";"0"
"176";5714.68;146.96;"E";"Pre-1970";47176.97;4;118.26;"Red";"1"
"177";4584.29;114.63;"E";"Pre-1970";19217.07;5;98.71;"Red";"0"
"178";3152.51;169.11;"A";"Post-2000";51835.19;1;43.77;"Black";"1"
"179";4366.01;173.66;"A";"Post-2000";87180.44;3;5.75;"Red";"1"
"180";3723.89;136.65;"E";"Pre-1970";44082.49;2;21.01;"Red";"0"
"181";6859.71;135.61;"B";"Post-2000";31292.69;6;88.64;"Black";"1"
"182";8303.38;171.18;"F";"Pre-1970";80019.14;4;45.29;"Black";"0"
"183";4443.77;136.78;"B";"Post-2000";49873.05;4;45.61;"Red";"0"
"184";3088.63;131.52;"C";"Pre-1970";70004;2;60.95;"Other";"0"
"185";4605.84;115.64;"C";"1970-2000";48874.81;4;74.64;"Black";"1"
"186";11874.42;185.99;"D";"1970-2000";58456.14;7;102.53;"Red";"1"
"187";9387.1;193.16;"E";"Pre-1970";85024.51;6;58.04;"Other";"0"
"188";10884.84;180.75;"E";"Pre-1970";59643.39;6;84.61;"Other";"1"
"189";4943.5;87.21;"A";"Post-2000";52515.07;7;115.38;"Red";"0"
"190";5403.94;125.27;"C";"1970-2000";32741.23;5;6.22;"Red";"1"
"191";8273.17;193.74;"E";"Pre-1970";57596.45;5;73.07;"Other";"0"
"192";6841.53;122.59;"C";"1970-2000";36812.65;7;57.77;"Black";"0"
"193";12255.63;276.33;"E";"Pre-1970";118329.31;7;82.44;"Red";"0"
"194";5535.79;158.4;"A";"Post-2000";51755.5;5;51.8;"Black";"0"
"195";5259.68;139.86;"C";"1970-2000";30973.55;4;116.64;"Red";"0"
"196";4720.1;210.3;"A";"Post-2000";92824.54;3;51.51;"Black";"1"
"197";4141.05;148.4;"B";"Post-2000";36062.1;2;26.05;"Black";"0"
"198";3702.4;134.66;"D";"1970-2000";21722.16;2;27.56;"Red";"1"
"199";7224.95;112.3;"C";"Pre-1970";27716.63;7;25.81;"Other";"0"
"200";4202.52;163.51;"A";"Post-2000";45195.11;3;19.51;"Other";"0"
"201";4263.76;113.37;"A";"Post-2000";36519.01;3;8.26;"Red";"1"
"202";9013.46;190.51;"C";"Pre-1970";54522.35;6;42.01;"Black";"1"
"203";4480.84;181.47;"B";"1970-2000";40006.28;2;7.23;"Black";"1"
"204";4454.03;135.66;"D";"1970-2000";19232.7;3;43.29;"Red";"1"
"205";6636.74;118.42;"A";"Post-2000";38934.91;7;101.62;"Black";"0"
"206";4929.98;202.33;"B";"1970-2000";98244.4;2;96.51;"Black";"0"
"207";2530;98.43;"B";"Post-2000";36344.3;1;90.75;"Black";"0"
"208";3914.31;168.95;"C";"1970-2000";34030.45;2;53.07;"Red";"0"
"209";3065.55;140.75;"A";"Post-2000";42013.04;1;100.84;"Red";"1"
"210";9052.34;222.26;"C";"1970-2000";93328.2;7;20.32;"Red";"1"
"211";8025.26;127.97;"C";"1970-2000";29968.15;7;89.76;"Other";"1"
"212";4472.24;154;"B";"1970-2000";63025.88;2;50.99;"Black";"0"
"213";2446.13;122.82;"B";"Post-2000";33649.55;1;59.3;"Black";"0"
"214";4598.6;149.81;"D";"1970-2000";38276.21;2;71.01;"Other";"0"
"215";4532.14;134.18;"C";"1970-2000";37803.34;4;16.8;"Black";"1"
"216";9451.38;175.92;"D";"Pre-1970";63033.42;7;111.9;"Other";"1"
"217";7451.26;155.61;"E";"Pre-1970";58331.74;4;16.53;"Black";"1"
"218";8177.56;179.6;"F";"Pre-1970";71989.86;4;108.54;"Other";"0"
"219";5976.69;227.93;"C";"1970-2000";71646.6;4;28.63;"Black";"0"
"220";4543.1;243.11;"A";"Post-2000";117329.43;3;96.13;"Other";"1"
"221";4465.83;161.83;"A";"Post-2000";45784.71;2;64.41;"Other";"0"
"222";4381.82;121.68;"A";"Post-2000";14173.77;5;76.9;"Red";"0"
"223";5434.76;148.5;"A";"Post-2000";34766.15;6;42.09;"Black";"1"
"224";3498.97;162.38;"B";"1970-2000";31282.91;2;53.2;"Other";"0"
"225";4150.85;159.97;"E";"Pre-1970";38825.02;1;58.78;"Other";"1"
"226";7154.7;148.48;"A";"Post-2000";74467.48;7;109.17;"Black";"0"
"227";6620.36;162.57;"A";"Post-2000";34337.74;7;90.91;"Black";"0"
"228";4788.42;125.91;"A";"Post-2000";30865.56;5;104.87;"Other";"1"
"229";11587.77;178.58;"D";"1970-2000";55363.03;7;63.95;"Other";"0"
"230";3737.1;163.34;"C";"1970-2000";60799.77;2;26.77;"Red";"0"
"231";2673.08;124.16;"A";"Post-2000";39759.08;1;100.54;"Black";"0"
"232";7434.71;151.37;"C";"Pre-1970";53402.7;6;75.95;"Other";"0"
"233";2958.06;148.25;"A";"Post-2000";55502;2;112.03;"Black";"1"
"234";6764.97;159.57;"A";"Post-2000";52336.83;6;39.27;"Black";"0"
"235";6033.86;135.45;"E";"Pre-1970";34311.25;4;87.92;"Black";"1"
"236";5565.56;146.28;"E";"Pre-1970";61850;3;17.78;"Red";"0"
"237";2299.27;137.34;"A";"Post-2000";15982.81;1;99.71;"Black";"0"
"238";8510.31;187.5;"A";"Post-2000";58472.89;7;18.98;"Red";"0"
"239";4740.27;157.27;"C";"1970-2000";53190.55;4;14.65;"Red";"0"
"240";5653.98;192.95;"C";"1970-2000";111659.65;4;13.38;"Other";"0"
"241";9152.27;137.18;"D";"1970-2000";49934.14;7;43.67;"Other";"1"
"242";6922.27;171.25;"C";"1970-2000";46615.55;5;110.13;"Red";"1"
"243";6714.53;186.83;"F";"Pre-1970";75969.99;3;36.47;"Red";"0"
"244";7884.85;196.94;"D";"1970-2000";61696.92;4;17;"Red";"1"
"245";4385.47;140.09;"A";"Post-2000";44265.89;4;70.55;"Other";"0"
"246";3649.49;148.11;"D";"1970-2000";43934.41;1;60.18;"Red";"1"
"247";5786.22;120.39;"B";"1970-2000";47208.34;7;109.42;"Red";"0"
"248";8041.32;161.57;"C";"1970-2000";27403.96;7;110.95;"Red";"1"
"249";9466.87;192.53;"F";"Pre-1970";77360.22;5;102.55;"Red";"1"
"250";2381.93;141.83;"A";"Post-2000";34790.01;1;55.27;"Red";"0"
"251";6243.66;105.43;"C";"1970-2000";38820.24;7;115.81;"Other";"1"
"252";4412.61;186.92;"A";"Post-2000";60457.65;3;29.35;"Other";"1"
"253";7720.49;103.87;"F";"Pre-1970";37065.68;6;73.77;"Other";"0"
"254";9170.96;222.54;"A";"Post-2000";42337.64;6;101.99;"Red";"0"
"255";7189.77;218.7;"E";"Pre-1970";88281.89;4;82.12;"Black";"1"
"256";4960.62;109.07;"D";"1970-2000";33336.68;5;67.52;"Red";"0"
"257";3083.82;136.89;"F";"Pre-1970";40051.26;1;47.69;"Other";"0"
"258";5772.85;202.73;"C";"1970-2000";87158.87;5;8.21;"Black";"1"
"259";6070.55;147.11;"D";"1970-2000";38020.91;5;34.16;"Black";"0"
"260";10459.43;146.26;"E";"Pre-1970";34572.8;7;71.51;"Red";"0"
"261";7165.47;158.45;"E";"Pre-1970";49808.06;5;100.28;"Red";"0"
"262";6143.56;158.53;"D";"1970-2000";58448.7;3;5.61;"Black";"0"
"263";4426.66;147.07;"A";"Post-2000";33072.94;4;73.59;"Other";"0"
"264";3654.32;151.75;"E";"Pre-1970";41679.87;1;64.76;"Black";"1"
"265";3505.05;132.73;"C";"1970-2000";41955.42;2;118.01;"Red";"0"
"266";10754.24;128.28;"E";"Pre-1970";28735.33;7;103.22;"Red";"0"
"267";5372190;156.15;"C";"1970-2000";44737.59;4;118.72;"Black";"0"
"268";5710.31;205.48;"A";"Post-2000";94964.8;5;45.56;"Black";"0"
"269";4016.42;161.42;"E";"Pre-1970";66079.52;1;58;"Black";"0"
"270";3714.77;161.76;"C";"Pre-1970";31937.35;2;20.02;"Other";"0"
"271";4688.52;167.45;"C";"1970-2000";51966.16;2;63.95;"Other";"1"
"272";5723.54;161.41;"A";"Post-2000";39683.91;5;87.22;"Black";"0"
"273";7343.35;164.5;"C";"1970-2000";41207.83;6;20.53;"Red";"0"
"274";8211.03;208.04;"B";"1970-2000";65680.82;6;110.48;"Black";"1"
"275";5309.22;188.96;"B";"Post-2000";58260.07;4;26.74;"Black";"0"
"276";10021.91;147.35;"E";"Pre-1970";67323.08;6;69.03;"Other";"0"
"277";8749.05;129.1;"D";"Pre-1970";54508.94;7;86.13;"Black";"0"
"278";4418.95;130.94;"B";"Post-2000";30930.52;2;114.45;"Red";"0"
"279";3238.65;162.08;"C";"1970-2000";35464.75;1;88.9;"Other";"0"
"280";4448.63;144.4;"F";"Pre-1970";25697.9;1;37.92;"Other";"0"
"281";10786.61;200.63;"F";"Pre-1970";58622.31;7;91.78;"Black";"0"
"282";5160.66;189.03;"F";"Pre-1970";81784.95;1;55.19;"Red";"0"
"283";3521.93;100.39;"C";"1970-2000";21386.62;3;62.37;"Black";"1"
"284";3352.45;122.75;"A";"Post-2000";45972.64;4;27.51;"Black";"0"
"285";6668.02;201.89;"B";"Post-2000";55863.52;5;71.46;"Black";"0"
"286";7375.39;190.26;"D";"Pre-1970";40191.23;5;56.84;"Other";"1"
"287";7167.44;115.15;"D";"1970-2000";30586.92;7;42.23;"Red";"0"
"288";4565.6;116.34;"D";"1970-2000";28110.26;5;103.41;"Red";"0"
"289";10652.59;248.8;"D";"Pre-1970";78978.41;5;105.24;"Black";"0"
"290";7055.92;124.93;"D";"1970-2000";40317.26;6;50.27;"Black";"1"
"291";4526.31;167.32;"C";"1970-2000";75598.73;2;87.51;"Other";"0"
"292";4829.15;111.91;"A";"Post-2000";33097.88;6;100.33;"Red";"0"
"293";4448.46;163.11;"C";"1970-2000";79167.04;2;40.71;"Other";"0"
"294";9305.89;151.55;"F";"Pre-1970";56529.62;5;64.51;"Red";"0"
"295";5815.19;196.84;"D";"Pre-1970";44868.59;4;78.46;"Red";"0"
"296";5546.14;178.42;"F";"Pre-1970";74890.06;1;9.24;"Black";"1"
"297";6069.44;102.8;"D";"1970-2000";37592.82;5;34.44;"Red";"0"
"298";5951.63;158.03;"C";"Pre-1970";37664.89;5;70.51;"Other";"0"
"299";4009.56;102.83;"A";"Post-2000";44221.26;4;107.1;"Black";"0"
"300";9649.63;131.95;"E";"Pre-1970";42395.07;6;113.38;"Red";"1"
"301";5996.2;179.85;"F";"Pre-1970";41486.92;3;100.67;"Black";"0"
"302";4188.48;144;"E";"Pre-1970";40850.37;2;29.66;"Other";"0"
"303";4610.33;75.11;"A";"Post-2000";30146.78;7;9.69;"Other";"0"
"304";7606.06;213.96;"F";"Pre-1970";68266.31;4;75.29;"Black";"1"
"305";3714.27;99.47;"A";"Post-2000";30406.61;4;91.52;"Black";"1"
"306";3628.13;133.62;"B";"1970-2000";31512.01;2;112.91;"Black";"1"
"307";11562.83;144.79;"E";"Pre-1970";30033.49;7;119.66;"Other";"1"
"308";7188.04;175.67;"B";"1970-2000";93579.03;6;69.02;"Other";"0"
"309";3766.82;147.8;"B";"Post-2000";56989.6;2;108.17;"Other";"0"
"310";5411.58;165.54;"B";"Post-2000";58140.85;5;93.98;"Black";"1"
"311";3971.82;110.19;"B";"1970-2000";18280.6;3;11.06;"Black";"1"
"312";5549.1;151.85;"D";"1970-2000";37382.26;5;49.67;"Black";"0"
"313";10059.2;189.21;"E";"Pre-1970";74682.28;6;29.21;"Black";"0"
"314";5248.46;161.66;"B";"Post-2000";82895.46;4;113.49;"Red";"1"
"315";6906.12;87.92;"F";"Pre-1970";17940.59;6;53.48;"Black";"0"
"316";3816.32;104.5;"B";"1970-2000";15501.02;4;20.27;"Black";"1"
"317";4418.55;133.83;"D";"1970-2000";23961.25;4;74.06;"Other";"1"
"318";9332.84;167.57;"D";"Pre-1970";23911.33;7;49.12;"Red";"1"
"319";7463.52;214.44;"A";"Post-2000";61810.27;6;78.11;"Red";"1"
"320";4197.82;164.83;"C";"1970-2000";54427.19;2;27.48;"Red";"0"
"321";6956.36;170.27;"A";"Post-2000";98667.08;6;51.92;"Red";"1"
"322";8184.01;179.22;"E";"Pre-1970";48423.65;4;59.96;"Other";"1"
"323";5502.63;173.36;"B";"1970-2000";37984.15;4;111.09;"Black";"1"
"324";10218.77;200.25;"C";"Pre-1970";91647.46;7;93.79;"Black";"0"
"325";7611.61;182.67;"D";"Pre-1970";62885.39;3;41.69;"Other";"0"
"326";8858.33;152.83;"A";"Post-2000";60896.17;7;38.08;"Red";"0"
"327";6317.64;184.62;"D";"Pre-1970";71859.59;4;50.96;"Other";"1"
"328";4362.24;156.38;"B";"1970-2000";40281.24;3;111.99;"Red";"0"
"329";5949.11;183.73;"B";"Post-2000";52241.58;4;117.54;"Black";"1"
"330";6562.73;199.77;"B";"Post-2000";72229.49;5;95.52;"Black";"1"
"331";4139.48;130.76;"D";"1970-2000";18425.22;3;23.1;"Black";"0"
"332";5607.04;121.71;"A";"Post-2000";44666.52;6;102.02;"Other";"1"
"333";9322.18;169.74;"E";"Pre-1970";NA;NA;95.67;"Black";"0"
"334";2414.16;76.55;"B";"1970-2000";29571.89;3;108.11;"Other";"1"
"335";7981.87;115.56;"C";"1970-2000";31280.48;7;17.21;"Other";"1"
"336";8207.51;191.66;"D";"1970-2000";52189.88;6;91.39;"Black";"1"
